P100ID01,WST_2007,WST_2009
132802,3,2.666666667
132902,4,3
133201,1.888888889,2.333333333
133401,2.888888889,2.777777778
133702,2,2
133803,1.222222222,2
134102,2.888888889,3.666666667
134501,2.222222222,2.222222222
135002,3.111111111,3.111111111
136202,3,3.111111111
136402,1.888888889,2.111111111
136501,2.555555556,2.222222222
136703,2.222222222,2.555555556
136803,3,3
137502,1,2.333333333
137602,3,4.111111111
137603,2,2.222222222
137604,1.333333333,1.666666667
138401,4.111111111,3
139102,2.555555556,2.555555556
140002,1.666666667,2.222222222
141902,3.222222222,4.222222222
144902,1,2
145202,1,1
145502,1,2.888888889
145802,1,3
146002,3,3
146402,1.444444444,3
146503,3,2
149702,4,3
150002,2,2.222222222
150502,2,2
150702,2.555555556,3
151202,4,3
151702,2.333333333,3.222222222
151903,5,3
152002,3,2
152101,3.666666667,3
152502,2.666666667,3.111111111
152802,3,2.555555556
153102,2.666666667,3.333333333
153202,3.444444444,3.444444444
153402,3.555555556,3.222222222
153403,2.888888889,3.111111111
153502,3,3.222222222
153801,2.333333333,3.111111111
153802,3,2.888888889
154502,3.666666667,2.888888889
154602,2.333333333,2.333333333
154902,1.888888889,2
155603,1.111111111,2.111111111
155604,2.111111111,2.111111111
155902,2,2.666666667
156502,2.444444444,3.222222222
156702,2.666666667,3.111111111
158303,2.777777778,2.888888889
158502,3.222222222,3.444444444
158602,2.333333333,2.666666667
158702,3.222222222,4
159002,2.333333333,3.222222222
159102,3,2.777777778
159202,1.666666667,2.111111111
161002,3.111111111,3.111111111
161103,3,3
161104,3,3.111111111
161302,3.555555556,3.111111111
161304,3.333333333,3
161602,3.111111111,3
161701,3.111111111,3.111111111
161803,3,3
162302,3.333333333,3.111111111
162601,3.333333333,2.777777778
162803,3.888888889,3
162902,1,3
163002,2.888888889,2.444444444
163101,2.777777778,3
164302,1,2
164502,2.777777778,3
164602,1.666666667,2
165102,3,3.222222222
165302,3,3
165402,3.111111111,3.222222222
165502,2,3.222222222
166602,3.111111111,3.222222222
166802,4.111111111,3
167401,3.111111111,3.111111111
167602,2.333333333,2
168304,2,2
168602,2.888888889,2.555555556
168702,2,2.222222222
168801,4,4
168901,3.333333333,4
169702,2.555555556,2.666666667
170303,2.333333333,2
170402,2.111111111,2.777777778
170502,2.333333333,2.333333333
170604,2.777777778,2.333333333
170702,3.444444444,3
170903,2.333333333,2.111111111
171301,3.444444444,3.333333333
171402,2.555555556,2.666666667
171502,3.111111111,3.777777778
171702,3.222222222,3
171802,3.111111111,3
171901,2.333333333,2.777777778
172101,2.666666667,2.666666667
172102,2,2.666666667
172402,1,2
172502,2.666666667,2.555555556
172602,2.222222222,2.777777778
172902,2,3
172903,2.666666667,3
173001,1.666666667,3
173603,2.222222222,2.555555556
174102,2.888888889,3
174802,2,2.333333333
174902,4,2.555555556
175402,3.666666667,3
175502,3,3.333333333
175503,2.555555556,2.555555556
176601,3,3
176702,1.666666667,3
177002,2.222222222,2.222222222
177502,2.111111111,2.222222222
177504,3.111111111,2.777777778
178202,3,2.777777778
178902,5,3
179002,4,3
179301,5,3
179402,2,2
179802,3,2
180202,3,3
180602,3,1.888888889
180702,2.333333333,3.222222222
181202,4,3.333333333
181802,3.333333333,3.111111111
182001,2.555555556,1.666666667
182303,3.111111111,3.666666667
182802,3.777777778,3.222222222
183201,3.222222222,1.888888889
183604,3,2.222222222
186602,3.111111111,2.888888889
187802,4,3.333333333
187902,2.444444444,2
188002,3,2.888888889
188601,3,3
188703,2.666666667,2.333333333
188801,3.555555556,2.222222222
189302,2,2.111111111
189404,3.222222222,2.888888889
189702,3,2.444444444
190001,2.222222222,2.111111111
190102,2,2
190404,3,2.444444444
190802,3,3.222222222
191202,3,2.222222222
191302,3,3.222222222
191402,2.222222222,3
191502,3.111111111,3
191702,3,3
192401,2.222222222,2
192502,2.555555556,2.777777778
192602,3,2.444444444
192701,2.222222222,2.333333333
192902,4,3.222222222
193002,3.555555556,3.222222222
194202,2.111111111,2
194802,3.111111111,3.222222222
195102,2.444444444,3
195202,3.666666667,3.111111111
196401,2.555555556,3
196603,2.555555556,2.444444444
196703,2.333333333,1.777777778
196802,2,2.333333333
196903,3,2
197902,3.444444444,3.333333333
198302,3,3.111111111
198401,2.333333333,2
198602,1,2.222222222
198802,3.555555556,2.444444444
199002,2.333333333,2.111111111
199102,3,1.888888889
200202,2,1.888888889
200703,2,2.333333333
200704,3,2.777777778
201302,2.111111111,2
201503,1.111111111,2.222222222
201902,2.333333333,2
203602,2.333333333,2.666666667
204402,2.333333333,3
204502,2.444444444,2.888888889
204801,2,1.666666667
205702,4.333333333,3.444444444
205704,3.222222222,2.555555556
205804,3.111111111,3
206401,3.333333333,3.888888889
206501,3.111111111,3.222222222
207003,2.555555556,2.111111111
207201,3.222222222,4.777777778
207402,2.888888889,3
207502,4,4
207901,3.222222222,3.555555556
208402,2.777777778,2.444444444
208602,3.777777778,4.111111111
209102,4.444444444,4.222222222
209201,3.555555556,3.222222222
211002,4,3.111111111
212002,2,2.555555556
212102,2.333333333,2.888888889
212402,2.888888889,2.444444444
212704,3.555555556,3.111111111
212902,2,2.777777778
213202,2.333333333,3.333333333
214203,3.111111111,2.111111111
214502,2.333333333,2.777777778
215102,2,3.111111111
215503,3.555555556,2
216002,3,3.111111111
216202,2.555555556,4
216502,3.333333333,3.333333333
216601,3.777777778,3.111111111
217504,3.333333333,3.111111111
218102,3.333333333,2.333333333
218502,2,3
219202,4.111111111,3.777777778
219204,3.555555556,5
219501,3.111111111,2.777777778
220102,3.777777778,3.777777778
220202,4,4
220402,3.666666667,3.333333333
220502,3.333333333,2.777777778
221102,2.333333333,2.222222222
222102,3.333333333,3.111111111
223002,2.666666667,3.555555556
223102,3.888888889,3.111111111
223502,4,1.888888889
223802,2,2
225102,3.888888889,3.111111111
225203,2.666666667,2.888888889
225402,2.333333333,2.222222222
